"","SEX","RELIGION","MARITALSTATUS","parti","age"
"210",2,"121","1","PLR",31.6767123287671
"211",1,"121","2","PLR",81.3643835616438
"212",1,"711","1","VERTS",23.3123287671233
"213",2,"111","2","VERTS",80.0246575342466
"214",2,"111","2","PSN",41.8301369863014
"215",2,"711","2","POP-SOL",33.4164383561644
"216",2,"111","3","VERTS",86.0657534246575
"217",1,"111","1","PSN",69.1424657534247
"218",2,"121","1","PLR",29.241095890411
"219",2,"111","3","VERTS",69.7260273972603
"220",2,"121","2","PSN",65.3424657534247
"221",1,"711","1","PLR",34.413698630137
"222",1,"121","1","PSN",20.4931506849315
"223",2,"121","2","PSN",42.841095890411
"224",2,"121","1","POP-SOL",63.9287671232877
"225",2,"121","1","PSN",28.1369863013699
"226",2,"811","2","VERTS",36.6767123287671
"227",2,"121","2","VERTS",71.8328767123288
"228",1,"111","1","PSN",26.986301369863
"229",1,"111","2","UDC",57.427397260274
"230",1,"111","2","PSN",77.3287671232877
"231",1,"121","2","VERT-LIB",56.0684931506849
"232",2,"121","2","VERT-LIB",58.8
"233",1,"121","2","PSN",61.6986301369863
"234",2,"711","1","UDC",40.8
"235",2,"711","1","PSN",35.6794520547945
"236",1,"711","1","PSN",22.8575342465753
"237",2,"711","1","PSN",29.4739726027397
"238",1,"111","1","PSN",43.1013698630137
"239",1,"711","1","VERTS",23.6849315068493
"240",1,"121","2","PSN",47.2246575342466
"241",2,"811","2","PSN",27.5643835616438
"242",1,"811","2","PSN",69.4054794520548
"243",1,"111","2","PSN",64.0767123287671
"244",1,"111","2","PLR",82.0301369863014
"245",2,"121","1","VERTS",40.7917808219178
"246",2,"121","2","PLR",50.9013698630137
"247",1,"121","2","UDC",78.0739726027397
"248",1,"711","2","PLR",47.0082191780822
"249",2,"711","3","UDC",88.2164383561644
"250",2,"811","1","PLR",27.4958904109589
"251",1,"121","2","PLR",39.1452054794521
"252",2,"111","2","PLR",51.6493150684932
"253",2,"121","4","UDC",75.2438356164384
"254",2,"121","2","PLR",77.9972602739726
"255",1,"111","1","VERT-LIB",30.1260273972603
"256",2,"111","2","PLR",50.8301369863014
"257",1,"711","4","PLR",51.4849315068493
"258",1,"111","1","VERTS",52.1342465753425
"259",2,"121","1","PSN",20.1452054794521
"260",2,"121","3","VERTS",61.1780821917808
"261",2,"811","2","PSN",57.6712328767123
"262",1,"121","4","PSN",58.7095890410959
"263",1,"111","2","PLR",74.4684931506849
"264",2,"111","4","PSN",64.0301369863014
"265",1,"121","4","VERTS",60.3013698630137
"266",2,"121","1","PSN",24.3945205479452
"267",2,"111","3","VERTS",85.1561643835616
"268",2,"711","2","UDC",56.227397260274
"269",2,"811","1","VERT-LIB",20.3260273972603
"270",1,"711","2","VERTS",39.9616438356164
"271",2,"711","1","PSN",36.0493150684932
"272",2,"811","4","VERTS",47.8767123287671
"273",1,"111","3","UDC",92.0191780821918
"274",2,"111","2","PSN",33.0383561643836
"275",2,"111","3","VERTS",79.6301369863014
"276",1,"711","1","POP-SOL",53.186301369863
"277",2,"0","6","POP-SOL",51.9369863013699
"278",2,"111","2","VERTS",25.6054794520548
"279",1,"121","4","PSN",64.3917808219178
"280",1,"121","2","VERTS",59.3479452054795
"281",2,"711","2","PLR",56.2575342465753
"282",2,"121","4","PSN",61.0986301369863
"283",1,"711","4","UDC",70.9178082191781
"284",1,"811","1","UDC",27.8109589041096
"285",1,"711","1","UDC",31.6191780821918
"286",2,"121","1","PLR",27.9260273972603
"287",1,"111","1","PSN",63.9232876712329
"288",1,"111","2","UDC",75.4986301369863
"289",1,"811","2","VERTS",73.0630136986301
"290",1,"121","1","VERT-LIB",20.2794520547945
"291",2,"711","1","PSN",19.9890410958904
"292",1,"0","2","PSN",44.9068493150685
"293",2,"711","1","PSN",62.9013698630137
"294",2,"111","2","PSN",30.4739726027397
"295",2,"711","2","PSN",66.0657534246575
"296",2,"121","3","VERTS",73.5534246575343
"297",1,"121","3","PSN",96.5835616438356
"298",2,"111","2","PLR",90.0520547945205
"299",1,"711","1","PSN",31.7205479452055
"300",2,"121","2","UDC",52.0465753424658
"301",1,"711","2","PLR",88.4356164383562
"302",1,"711","2","PSN",50.1835616438356
"303",2,"121","2","PSN",62.5780821917808
"304",1,"121","4","PSN",55.7698630136986
"305",2,"121","2","PSN",50.1643835616438
"306",1,"111","4","PSN",56.8109589041096
"307",2,"111","2","POP-SOL",72.3808219178082
"308",1,"121","1","POP-SOL",43.5506849315069
"309",2,"121","1","POP-SOL",54.4904109589041
"310",1,"121","1","PLR",63.013698630137
"311",2,"111","2","PSN",56.7780821917808
"312",1,"121","2","PLR",55.7698630136986
"313",1,"121","2","PSN",59.4109589041096
"314",2,"711","2","PLR",43.7095890410959
"315",2,"811","1","VERTS",24.3178082191781
"316",1,"121","3","PLR",96.7753424657534
"317",1,"811","2","PSN",56.4246575342466
"318",2,"711","2","VERT-LIB",59.0986301369863
"319",2,"711","2","PSN",65.6876712328767
"320",1,"121","1","VERTS",28.1561643835616
"321",1,"711","1","PSN",27.3041095890411
"322",1,"811","4","POP-SOL",54.2
"323",1,"121","2","PLR",36.0821917808219
"324",1,"711","1","PLR",34.4931506849315
"325",1,"121","2","PLR",51.9479452054794
"326",1,"711","4","PLR",50.827397260274
"327",1,"121","2","PLR",63.6027397260274
"328",1,"121","2","VERT-LIB",30.3150684931507
"329",1,"811","2","PSN",57.4109589041096
"330",1,"811","2","PLR",68.9287671232877
"331",1,"121","2","PLR",32.2904109589041
"332",1,"121","1","UDC",27.5095890410959
"333",1,"111","1","PLR",30.1260273972603
"334",2,"0","2","PSN",45.7780821917808
"335",2,"711","1","PSN",41.2657534246575
"336",2,"121","3","PSN",84.7671232876712
"337",2,"121","2","VERT-LIB",63.372602739726
"338",1,"711","1","PSN",67.8219178082192
"339",1,"711","2","PSN",59.4602739726027
"340",1,"711","4","PSN",38.4356164383562
"341",1,"121","2","VERTS",83.4054794520548
"342",2,"711","2","PSN",35.2876712328767
"343",2,"111","1","PDC",83.1260273972603
"344",2,"121","2","PLR",56.2630136986301
"345",1,"711","2","PLR",31.1205479452055
"346",2,"121","2","VERTS",71.1287671232877
"347",1,"111","2","PLR",93.4684931506849
"348",1,"121","2","VERT-LIB",55.5232876712329
"349",1,"121","2","VERTS",54.0931506849315
"350",2,"111","4","VERT-LIB",69.8684931506849
"351",1,"121","1","PSN",28.2821917808219
"352",1,"121","2","UDC",58.7150684931507
"353",2,"811","2","PLR",34.8794520547945
"354",1,"111","1","PLR",35.8986301369863
"355",1,"111","1","VERTS",35.7232876712329
"356",1,"111","2","PSN",50.1369863013699
"357",1,"111","2","PLR",64.2438356164384
"358",1,"121","2","PSN",61.7890410958904
"359",1,"121","6","PSN",29.3808219178082
"360",1,"111","3","PSN",90.9205479452055
"361",2,"121","2","VERTS",42.2109589041096
"362",2,"111","3","VERT-LIB",86
"363",1,"711","1","PLR",43.3945205479452
"364",1,"121","1","PLR",36.358904109589
"365",2,"111","2","PLR",70.3041095890411
"366",2,"111","1","PSN",23.6493150684932
"367",2,"121","2","PSN",53.5479452054795
"368",2,"121","2","PLR",50.7534246575342
"369",2,"121","2","UDC",57.186301369863
"370",2,"711","2","PSN",67.5671232876712
"371",2,"121","1","PSN",27.8712328767123
"372",2,"711","2","PSN",60.0712328767123
"373",2,"121","1","PLR",24.5178082191781
"374",1,"111","1","PSN",37.2
"375",2,"711","2","PLR",74.186301369863
"376",1,"111","2","PLR",41.2630136986301
"377",2,"111","2","PLR",64.4520547945205
"378",2,"121","2","VERTS",49.3616438356164
"379",1,"111","2","VERTS",63.7534246575342
"380",1,"111","2","VERTS",73.2931506849315
"381",1,"711","2","VERTS",48.3643835616438
"382",1,"111","1","PLR",22.0465753424658
"383",2,"711","2","PSN",63.7013698630137
"384",2,"811","4","PLR",41.0328767123288
"385",2,"711","2","VERT-LIB",33.358904109589
"386",2,"811","2","PSN",55.9890410958904
"387",2,"111","1","PSN",23.1232876712329
"388",2,"111","3","PSN",83.0547945205479
"389",2,"111","1","VERTS",24.4164383561644
"390",1,"111","2","PLR",62.5835616438356
"391",1,"111","2","PSN",47.172602739726
"392",2,"711","4","PLR",69.8191780821918
"393",2,"121","4","PLR",75.8164383561644
"394",1,"121","2","PLR",72.2027397260274
"395",1,"121","2","PLR",52.4191780821918
"396",1,"121","3","PSN",91.0383561643836
"397",2,"121","2","VERT-LIB",66.5452054794521
"398",1,"811","2","PSN",72.1342465753425
"399",2,"121","2","PLR",54.1205479452055
"400",2,"111","2","PSN",66.2876712328767
"401",2,"811","2","VERTS",33.0547945205479
"402",2,"121","1","PLR",22.3123287671233
"403",2,"121","2","PLR",41.441095890411
"404",1,"121","2","PLR",29.5534246575342
"405",2,"711","2","PSN",32.0712328767123
"406",1,"121","4","PLR",63.186301369863
"407",1,"121","1","PLR",40.9643835616438
"408",2,"111","2","PSN",61.041095890411
"409",2,"121","1","PLR",33.0219178082192
"410",1,"121","2","PSN",49.2328767123288
"411",2,"121","2","PLR",41.2438356164384
