Canton;Annee;Parti;Suffrage_en_pourcent
Suisse;1971;PL;2.19
Suisse;1971;AdI;7.63
Suisse;1971;PEV;2.15
Suisse;1971;PCS;0.3
Suisse;1971;PVL;
Suisse;1971;PBD;
Suisse;1971;PST;2.58
Suisse;1971;PSA;0.26
Suisse;1971;POCH;0.09
Suisse;1971;PES;
Suisse;1971;AVF;
Suisse;1971;Sol.;
Suisse;1971;Rép.;4.25
Suisse;1971;DS;3.2
Suisse;1971;UDF;
Suisse;1971;PSL;
Suisse;1971;Lega;
Suisse;1971;MCR;
Suisse;1971;Sép.;
Suisse;1971;Autres;1.23
Zürich;2019;PLR;13.66
Zürich;2019;PDC;4.41
Zürich;2019;PS;17.31
Zürich;2019;UDC;26.7
Zürich;2019;PL;
Zürich;2019;AdI;
Zürich;2019;PEV;3.3
Zürich;2019;PCS;
Zürich;2019;PVL;13.99
Zürich;2019;PBD;1.64
Zürich;2019;PST;0.31
Zürich;2019;PSA;
Zürich;2019;POCH;
Zürich;2019;PES;14.08
Zürich;2019;AVF;1.61
Zürich;2019;Sol.;
Zürich;2019;Rép.;
Zürich;2019;DS;0.19
Zürich;2019;UDF;1.61
Zürich;2019;PSL;
Zürich;2019;Lega;
Zürich;2019;MCR;
Zürich;2019;Sép.;
Zürich;2019;Autres;1.19
Zürich;2015;PLR;15.32
Zürich;2015;PDC;4.18
Zürich;2015;PS;21.39
Zürich;2015;UDC;30.68
Zürich;2015;PL;
Zürich;2015;AdI;
Zürich;2015;PEV;3.12
Zürich;2015;PCS;
Zürich;2015;PVL;8.16
Zürich;2015;PBD;3.62
Zürich;2015;PST;0.24
Zürich;2015;PSA;
Zürich;2015;POCH;
Zürich;2015;PES;6.89
Zürich;2015;AVF;1.77
Zürich;2015;Sol.;
Zürich;2015;Rép.;
Zürich;2015;DS;0.18
Zürich;2015;UDF;2.06
Zürich;2015;PSL;
Zürich;2015;Lega;
Zürich;2015;MCR;
Zürich;2015;Sép.;
Zürich;2015;Autres;2.38
Zürich;2011;PLR;11.64
Zürich;2011;PDC;5.03
Zürich;2011;PS;19.27
Zürich;2011;UDC;29.84
Zürich;2011;PL;
Zürich;2011;AdI;
Zürich;2011;PEV;3.07
Zürich;2011;PCS;0.16
Zürich;2011;PVL;11.49
Zürich;2011;PBD;5.28
Zürich;2011;PST;0.24
Zürich;2011;PSA;
Zürich;2011;POCH;
Zürich;2011;PES;8.39
Zürich;2011;AVF;1.02
Zürich;2011;Sol.;
Zürich;2011;Rép.;
Zürich;2011;DS;0.28
Zürich;2011;UDF;2.17
Zürich;2011;PSL;
Zürich;2011;Lega;
Zürich;2011;MCR;
Zürich;2011;Sép.;
Zürich;2011;Autres;2.12
Zürich;2007;PLR;13.15
Zürich;2007;PDC;7.56
Zürich;2007;PS;19.81
Zürich;2007;UDC;33.92
Zürich;2007;PL;
Zürich;2007;AdI;
Zürich;2007;PEV;3.68
Zürich;2007;PCS;0.15
Zürich;2007;PVL;7.01
Zürich;2007;PBD;
Zürich;2007;PST;0.23
Zürich;2007;PSA;
Zürich;2007;POCH;
Zürich;2007;PES;10.37
Zürich;2007;AVF;1.12
Zürich;2007;Sol.;
Zürich;2007;Rép.;
Zürich;2007;DS;0.54
Zürich;2007;UDF;2.12
Zürich;2007;PSL;0.08
Zürich;2007;Lega;
Zürich;2007;MCR;
Zürich;2007;Sép.;
Zürich;2007;Autres;0.28
Zürich;2003;PLR;16.24
Zürich;2003;PDC;5.43
Zürich;2003;PS;25.66
Zürich;2003;UDC;33.39
Zürich;2003;PL;
Zürich;2003;AdI;
Zürich;2003;PEV;4.11
Zürich;2003;PCS;
Zürich;2003;PVL;
Zürich;2003;PBD;
Zürich;2003;PST;
Zürich;2003;PSA;
Zürich;2003;POCH;
Zürich;2003;PES;8.47
Zürich;2003;AVF;1.44
Zürich;2003;Sol.;
Zürich;2003;Rép.;
Zürich;2003;DS;0.87
Zürich;2003;UDF;2.06
Zürich;2003;PSL;0.09
Zürich;2003;Lega;
Zürich;2003;MCR;
Zürich;2003;Sép.;
Zürich;2003;Autres;2.24
Zürich;1999;PLR;17.82
Zürich;1999;PDC;5.12
Zürich;1999;PS;25.63
Zürich;1999;UDC;32.48
Zürich;1999;PL;0.15
Zürich;1999;AdI;2.05
Zürich;1999;PEV;3.44
Zürich;1999;PCS;0.22
