Canton	Annee	Parti	Electeurs fictifs	Suffrage en pourcent
Zürich	1983	PDC	30479	9.08
Zürich	1983	PS	77184	23.01
Zürich	1983	UDC	46446	13.84
Zürich	1983	PL		
Zürich	1983	AdI	33349	9.94
Zürich	1983	PEV	18227	5.43
Zürich	1983	PCS		
Zürich	1983	PVL		
Zürich	1983	PBD		
Zürich	1983	PST	1162	0.35
Zürich	1983	PSA		
Zürich	1983	POCH	12732	3.79
Zürich	1983	PES	13956	4.16
Zürich	1983	AVF	2102	0.63
Zürich	1983	Sol.		
Zürich	1983	Rép.		
Zürich	1983	DS	19646	5.86
Zürich	1983	UDF	1942	0.58
Zürich	1983	PSL		
Zürich	1983	Lega		
Zürich	1983	MCR		
Zürich	1983	Sép.		
Zürich	1983	Autres	5172	1.54
Zürich	1979	PLR	71900	22.38
Zürich	1979	PDC	31194	9.71
Zürich	1979	PS	85025	26.47
Zürich	1979	UDC	46427	14.45
Zürich	1979	PL		
Zürich	1979	AdI	35863	11.16
Zürich	1979	PEV	18210	5.67
Zürich	1979	PCS		
Zürich	1979	PVL		
Zürich	1979	PBD		
Zürich	1979	PST	3855	1.2
Zürich	1979	PSA		
Zürich	1979	POCH	7348	2.29
Zürich	1979	PES	4305	1.34
Zürich	1979	AVF		
Zürich	1979	Sol.		
Zürich	1979	Rép.	2909	0.91
Zürich	1979	DS	8065	2.51
Zürich	1979	UDF	1128	0.35
Zürich	1979	PSL		
Zürich	1979	Lega		
Zürich	1979	MCR		
Zürich	1979	Sép.		
Zürich	1979	Autres	4982	1.55
Zürich	1975	PLR	61844	18.46
Zürich	1975	PDC	31408	9.37
Zürich	1975	PS	80219	23.94
Zürich	1975	UDC	38012	11.34
Zürich	1975	PL		
Zürich	1975	AdI	52243	15.59
Zürich	1975	PEV	18030	5.38
Zürich	1975	PCS		
Zürich	1975	PVL		
Zürich	1975	PBD		
Zürich	1975	PST	3688	1.1
Zürich	1975	PSA		
Zürich	1975	POCH	5106	1.52
Zürich	1975	PES		
